Certification_Name,Issuing_Organization,Category,Difficulty_Level,Avg_Exam_Cost_USD,Validity_Period_Yrs,Popularity,Prerequisites
AWS Certified Solutions Architect,Amazon Web Services (AWS),Cloud Computing,Advanced,150,3,High,AWS Cloud Practitioner
Certified Radiation protection practitioner Specialist,Ortiz-Lester,Cloud Computing,Advanced,563,2,High,None
Certified Marketing executive Specialist,"George, Ross and Ruiz",Cloud Computing,Expert,800,3,High,2 years of experience
"Certified Administrator, charities/voluntary organisations Specialist",Casey PLC,Cybersecurity,Expert,254,1,Medium,Related degree
Certified Warehouse manager Specialist,Roy-Delacruz,Project Management,Beginner,872,1,Low,Related degree
Certified Acupuncturist Specialist,Navarro-Miller,Data Science,Expert,1141,5,Medium,2 years of experience
Certified Paramedic Specialist,Watkins-Garcia,Data Science,Beginner,174,3,Low,None
"Certified Scientist, marine Specialist",Powell LLC,Healthcare,Beginner,295,2,High,2 years of experience
Certified Leisure centre manager Specialist,Marsh-Cole,Healthcare,Beginner,1223,3,Low,2 years of experience
"Certified Physicist, medical Specialist","Porter, Lawson and Price",Cloud Computing,Advanced,766,1,Low,2 years of experience
"Certified Engineer, maintenance (IT) Specialist",Anderson and Sons,Data Science,Advanced,1136,1,Low,2 years of experience
Certified Local government officer Specialist,Thompson-Barrett,Healthcare,Intermediate,692,5,Medium,2 years of experience
Certified Radio producer Specialist,Lowe-Ritter,Project Management,Expert,949,1,High,Related degree
Certified Sports administrator Specialist,Taylor-Martin,Cloud Computing,Beginner,201,5,Low,Related degree
Certified Agricultural consultant Specialist,Flynn-Foster,Cybersecurity,Beginner,688,2,High,None
Certified Outdoor activities/education manager Specialist,Flores Ltd,Data Science,Expert,917,2,Low,Related degree
Certified Broadcast journalist Specialist,"Gonzalez, Perkins and Dickerson",Cybersecurity,Advanced,1243,5,Medium,None
Certified Claims inspector/assessor Specialist,"Mullen, Sanchez and Brown",Healthcare,Advanced,148,1,Medium,Related degree
Certified Solicitor Specialist,"Moore, Gates and White",Data Science,Advanced,241,5,Low,2 years of experience
"Certified Designer, jewellery Specialist",Melton PLC,Cybersecurity,Expert,729,3,High,None
"Certified Scientist, audiological Specialist","Vargas, Stevenson and Singleton",Healthcare,Advanced,263,3,High,Related degree
Certified Customer service manager Specialist,Mason-Jackson,Healthcare,Beginner,1031,5,High,None
"Certified Surveyor, building control Specialist","Acosta, Camacho and Mcmillan",Healthcare,Advanced,262,2,Low,Related degree
Certified Insurance claims handler Specialist,Martin-Cooper,Project Management,Expert,1264,3,Low,None
Certified Special educational needs teacher Specialist,Oconnor-Sanchez,Cybersecurity,Advanced,947,3,High,None
Certified Art therapist Specialist,Baxter LLC,Project Management,Intermediate,230,1,High,2 years of experience
Certified Water quality scientist Specialist,Gibbs-Hunt,Project Management,Intermediate,564,1,Medium,Related degree
Certified Interpreter Specialist,Gardner-Patton,Project Management,Intermediate,551,2,Medium,None
Certified Equality and diversity officer Specialist,Beasley-Clark,Healthcare,Expert,1088,1,Medium,2 years of experience
"Certified Designer, television/film set Specialist","Bennett, Henry and Rivera",Data Science,Beginner,250,5,Low,2 years of experience
"Certified Engineer, civil (consulting) Specialist",Ramirez-Graham,Project Management,Intermediate,510,1,Low,Related degree
"Certified Psychotherapist, dance movement Specialist","Flowers, Smith and Miller",Cybersecurity,Intermediate,1107,5,Low,None
Certified English as a foreign language teacher Specialist,Carroll and Sons,Data Science,Intermediate,916,5,Low,None
"Certified Designer, jewellery Specialist",Abbott and Sons,Cloud Computing,Advanced,374,3,High,2 years of experience
Certified Television production assistant Specialist,Meadows-Adams,Project Management,Beginner,274,3,High,2 years of experience
Certified Advertising account planner Specialist,Watson-Young,Healthcare,Expert,369,1,High,Related degree
Certified Pharmacologist Specialist,"Sullivan, Sandoval and Mcdowell",Cloud Computing,Beginner,563,3,Low,2 years of experience
"Certified Engineer, biomedical Specialist","James, Walker and Jackson",Healthcare,Expert,1333,2,Medium,2 years of experience
Certified Leisure centre manager Specialist,Wright-Flores,Cloud Computing,Beginner,515,2,Medium,2 years of experience
Certified Jewellery designer Specialist,Green and Sons,Cloud Computing,Beginner,1173,2,Medium,Related degree
Certified Chartered accountant Specialist,Richardson-Potter,Data Science,Intermediate,1327,2,Medium,None
Certified Dancer Specialist,"Walker, Jimenez and Flynn",Cloud Computing,Beginner,1115,5,Low,2 years of experience
Certified Careers adviser Specialist,Spears Inc,Healthcare,Expert,1194,5,High,None
Certified Dance movement psychotherapist Specialist,"Harmon, Mckinney and Baldwin",Cloud Computing,Intermediate,126,3,Medium,None
Certified Theme park manager Specialist,Mcclain-Martinez,Cybersecurity,Advanced,1301,1,Low,Related degree
"Certified Engineer, civil (consulting) Specialist",Brewer-Adams,Data Science,Intermediate,323,1,Low,Related degree
Certified Medical illustrator Specialist,"Andrade, Price and Smith",Cloud Computing,Expert,345,3,Low,Related degree
"Certified Conservation officer, nature Specialist",Hill-Hernandez,Cybersecurity,Beginner,471,5,High,Related degree
"Certified Runner, broadcasting/film/video Specialist",Joyce-Bryan,Healthcare,Intermediate,525,5,Low,None
"Certified Journalist, newspaper Specialist",Ryan-Patterson,Cloud Computing,Expert,1127,1,High,None
Certified Banker Specialist,Small Ltd,Data Science,Intermediate,159,3,Low,2 years of experience
Certified Call centre manager Specialist,Church-Lyons,Project Management,Expert,918,3,High,None
"Certified Pharmacist, hospital Specialist",Ramsey Group,Data Science,Advanced,1222,3,Low,2 years of experience
Certified Meteorologist Specialist,"Cuevas, Kelley and Byrd",Cybersecurity,Intermediate,357,3,Low,None
Certified Senior tax professional/tax inspector Specialist,"Peters, Dyer and Fuentes",Cloud Computing,Advanced,930,1,Low,None
Certified Field seismologist Specialist,Ortiz Ltd,Cloud Computing,Beginner,464,2,Medium,None
Certified Ranger/warden Specialist,Vazquez LLC,Cybersecurity,Expert,369,2,Medium,Related degree
Certified Production engineer Specialist,Williams PLC,Cloud Computing,Intermediate,110,2,Low,2 years of experience
Certified Restaurant manager Specialist,Stevens-Hernandez,Project Management,Expert,1274,5,High,None
Certified Firefighter Specialist,Brennan-Scott,Healthcare,Intermediate,818,5,Low,Related degree
Certified Press sub Specialist,Dickson PLC,Data Science,Expert,1500,3,High,Related degree
Certified Occupational therapist Specialist,Kent-Hodge,Cloud Computing,Beginner,458,1,Low,Related degree
Certified Airline pilot Specialist,Barrett PLC,Project Management,Beginner,604,2,Low,Related degree
"Certified Therapist, nutritional Specialist",Maldonado PLC,Project Management,Expert,147,5,Low,Related degree
Certified Associate Professor Specialist,Daniels Ltd,Cybersecurity,Advanced,874,1,Low,2 years of experience
Certified Petroleum engineer Specialist,Beck PLC,Cloud Computing,Intermediate,151,5,Medium,2 years of experience
Certified Health visitor Specialist,Grant-Garcia,Healthcare,Beginner,200,5,Low,None
Certified Interpreter Specialist,"Reeves, Dunlap and Butler",Project Management,Advanced,371,5,Low,Related degree
Certified Financial planner Specialist,Weaver and Sons,Data Science,Expert,721,3,High,2 years of experience
Certified Product/process development scientist Specialist,Nelson-Sharp,Cloud Computing,Expert,166,1,High,Related degree
"Certified Secretary, company Specialist",Norman and Sons,Cybersecurity,Expert,1376,5,Medium,2 years of experience
Certified Planning and development surveyor Specialist,"Coleman, Stewart and Moore",Cloud Computing,Expert,366,5,High,2 years of experience
Certified Geochemist Specialist,French-Blanchard,Project Management,Expert,595,2,Medium,2 years of experience
Certified Retail merchandiser Specialist,"Mitchell, Gilbert and Hodges",Cloud Computing,Expert,1012,5,Medium,Related degree
Certified Information systems manager Specialist,"Webb, Torres and Hardin",Data Science,Beginner,1413,1,High,None
Certified Marine scientist Specialist,Myers-Thompson,Healthcare,Intermediate,917,5,Low,None
"Certified Therapist, music Specialist",Rogers-Orr,Data Science,Expert,842,1,Low,Related degree
Certified Analytical chemist Specialist,"Garcia, Davis and Miller",Project Management,Beginner,1209,5,Medium,None
Certified Legal executive Specialist,"Price, Jones and Mcpherson",Project Management,Expert,1373,1,Low,Related degree
"Certified Surveyor, minerals Specialist",Curtis-Thompson,Project Management,Beginner,1233,2,Low,Related degree
Certified Technical author Specialist,Cruz-Torres,Cybersecurity,Expert,1355,2,Medium,None
Certified Manufacturing systems engineer Specialist,"Gutierrez, Ramirez and Richardson",Cybersecurity,Intermediate,1089,3,Low,Related degree
Certified Psychotherapist Specialist,"Morgan, Lozano and Brown",Cloud Computing,Intermediate,1473,3,Low,None
Certified Conference centre manager Specialist,Lewis Inc,Data Science,Advanced,632,5,Low,Related degree
Certified Air broker Specialist,"Clark, Gonzalez and Chen",Data Science,Expert,1153,1,High,None
Certified Psychotherapist Specialist,"Rodriguez, Jimenez and Daniels",Healthcare,Advanced,100,3,Low,Related degree
"Certified Education officer, community Specialist",Thomas Inc,Cloud Computing,Intermediate,1039,1,High,None
"Certified Research officer, government Specialist","Brown, Marks and Hill",Cloud Computing,Advanced,139,5,High,2 years of experience
Certified Stage manager Specialist,Sexton-Lyons,Project Management,Beginner,807,3,High,None
Certified Interpreter Specialist,Lopez-Snyder,Cybersecurity,Expert,942,2,High,2 years of experience
"Certified Designer, exhibition/display Specialist","Browning, Simpson and Martin",Project Management,Beginner,240,1,Low,2 years of experience
"Certified Optician, dispensing Specialist","Smith, Newman and Jones",Project Management,Expert,1500,2,High,None
Certified Clinical molecular geneticist Specialist,Beck PLC,Healthcare,Advanced,772,2,Low,2 years of experience
Certified Insurance claims handler Specialist,Cross-Vang,Data Science,Intermediate,1483,3,Medium,2 years of experience
"Certified Editor, commissioning Specialist",Romero-Rogers,Project Management,Beginner,1230,1,Medium,2 years of experience
Certified Investment analyst Specialist,Aguilar-Wilson,Data Science,Advanced,632,2,Low,2 years of experience
Certified Fitness centre manager Specialist,Huynh Ltd,Healthcare,Intermediate,594,1,Medium,Related degree
Certified Fast food restaurant manager Specialist,Lane Inc,Healthcare,Intermediate,173,1,Low,Related degree
"Certified Production designer, theatre/television/film Specialist",Stephens-Sanders,Healthcare,Intermediate,1119,2,Low,None
Certified Heritage manager Specialist,"Bell, Gardner and Olson",Project Management,Advanced,1425,3,Medium,None
"Certified Geneticist, molecular Specialist",Ellis and Sons,Project Management,Intermediate,661,2,Medium,None
